bird's-foot_fern%1:20:00::	bird-s-foot_fern%1:20:00::
bird's_foot_trefoil%1:20:01::	bird-s_foot_trefoil%1:20:01::
bird's_foot_trefoil%1:20:02::	bird-s_foot_trefoil%1:20:02::
bird's-foot_violet%1:20:00::	bird-s-foot_violet%1:20:00::
bird's_nest%1:17:00::	bird-s_nest%1:17:00::
bird's_nest_fern%1:20:01::	bird-s_nest_fern%1:20:01::
bird's-nest_fungus%1:20:00::	bird-s-nest_fungus%1:20:00::
bishop's_cap%1:20:00::	bishop-s_cap%1:20:00::
bishop's_hat%1:20:00::	bishop-s_hat%1:20:00::
bishop's_pine%1:20:00::	bishop-s_pine%1:20:00::
bishop's_throne%1:06:00::	bishop-s_throne%1:06:00::
bleeder's_disease%1:26:00::	bleeder-s_disease%1:26:00::
blindman's_buff%1:04:00::	blindman-s_buff%1:04:00::
boatswain's_chair%1:06:00::	boatswain-s_chair%1:06:00::
boltzmann's_constant%1:23:00::	boltzmann-s_constant%1:23:00::
boott's_goldenrod%1:20:00::	boott-s_goldenrod%1:20:00::
borrower's_card%1:10:00::	borrower-s_card%1:10:00::
bosin's_disease%1:26:00::	bosin-s_disease%1:26:00::
bo's'n%1:18:00::	bo-s-n%1:18:00::
bos'n%1:18:00::	bos-n%1:18:00::
bo'sun%1:18:00::	bo-sun%1:18:00::
bosun's_chair%1:06:00::	bosun-s_chair%1:06:00::
bowman's_capsule%1:08:00::	bowman-s_capsule%1:08:00::
boyle's_law%1:09:00::	boyle-s_law%1:09:00::
bradley's_spleenwort%1:20:00::	bradley-s_spleenwort%1:20:00::
bramley's_seedling%1:13:00::	bramley-s_seedling%1:13:00::
braun's_holly_fern%1:20:00::	braun-s_holly_fern%1:20:00::
break_one's_back%2:41:00::	break_one-s_back%2:41:00::
brewer's_mole%1:05:00::	brewer-s_mole%1:05:00::
brewer's_mountain_heather%1:20:00::	brewer-s_mountain_heather%1:20:00::
brewer's_spruce%1:20:00::	brewer-s_spruce%1:20:00::
brewer's_yeast%1:20:00::	brewer-s_yeast%1:20:00::
brewer's_yeast%1:27:00::	brewer-s_yeast%1:27:00::
bricklayer's_hammer%1:06:00::	bricklayer-s_hammer%1:06:00::
bride's_bonnet%1:20:00::	bride-s_bonnet%1:20:00::
bright's_disease%1:26:00::	bright-s_disease%1:26:00::
broca's_aphasia%1:26:00::	broca-s_aphasia%1:26:00::
broca's_area%1:08:00::	broca-s_area%1:08:00::
broca's_center%1:08:00::	broca-s_center%1:08:00::
broca's_convolution%1:08:00::	broca-s_convolution%1:08:00::
broca's_gyrus%1:08:00::	broca-s_gyrus%1:08:00::
brodmann's_area%1:08:00::	brodmann-s_area%1:08:00::
bullock's_heart%1:13:00::	bullock-s_heart%1:13:00::
bullock's_heart%1:20:00::	bullock-s_heart%1:20:00::
bullock's_heart_tree%1:20:00::	bullock-s_heart_tree%1:20:00::
bullock's_oriole%1:05:00::	bullock-s_oriole%1:05:00::
bull's_eye%1:04:00::	bull-s_eye%1:04:00::
bull's_eye%1:04:01::	bull-s_eye%1:04:01::
bull's_eye%1:15:00::	bull-s_eye%1:15:00::
burchell's_zebra%1:05:00::	burchell-s_zebra%1:05:00::
bushman's_poison%1:20:00::	bushman-s_poison%1:20:00::
busman's_holiday%1:04:00::	busman-s_holiday%1:04:00::
butcher's_broom%1:20:00::	butcher-s_broom%1:20:00::
buyer's_market%1:04:00::	buyer-s_market%1:04:00::
bvd's%1:06:00::	bvd-s%1:06:00::
cable's_length%1:23:00::	cable-s_length%1:23:00::
caesar's_agaric%1:20:00::	caesar-s_agaric%1:20:00::
calf's_brain%1:13:00::	calf-s_brain%1:13:00::
calf's-foot_jelly%1:13:00::	calf-s-foot_jelly%1:13:00::
calf's_liver%1:13:00::	calf-s_liver%1:13:00::
calf's_tongue%1:13:00::	calf-s_tongue%1:13:00::
